Demographic Information - What is your age?,Demographic Information - What is your gender?,Demographic Information - What is your current occupation?,"Digital Device Usage - On average, how many hours per day do you spend on digital devices (smartphones, tablets, computers, etc.)?",Digital Device Usage - Which activities do you spend most of your time on digital devices? (Select all that apply),Digital Device Usage - Do you use digital devices at night before sleep?,Digital Device Usage - Do you think the time you spend on your digital devices is good use of your time?,Mental Health and Well-Being - How often do you feel stressed?,"Mental Health and Well-Being - Have you ever felt symptoms of depression (such as prolonged sadness, loss of interest, fatigue, etc.)?",Mental Health and Well-Being - Do you feel comfortable discussing your mental health with friends or family?,Mental Health and Well-Being - Do you think your digital device usage affects your mental health?,"Physical Activity and Sleep - How often do you engage in physical activities (exercise, sports, etc.)?",Physical Activity and Sleep - How would you rate your sleep quality?,Physical Activity and Sleep - How would you rate your current nutrition and diet?,Access to Mental Health Resources - Are you aware of the mental health resources available to you?,Access to Mental Health Resources - Have you ever sought professional help for mental health issues?,Preferences for Mental Health Support - What is your preferred mode of receiving mental health support? (Select all that apply),Preferences for Mental Health Support - Would you be open to using an AI-powered chatbot for mental health support and managing digital device usage?,Preferences for Mental Health Support - What features would you find most helpful in an AI-powered chatbot? (Select all that apply),Preferences for Mental Health Support - Do you have any suggestions for improving mental health support for Gen Z? (Open-ended)
17-23 years,Female,Student,Less than 2 hours,"['Watching videos/Movies', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Sometimes,Sometimes,Sometimes,Sometimes,Very uncomfortable,A little,Never,Good,Good,No,Yes,['Other (please specify)'],Maybe,"['Resources for mental health (articles, videos, etc.)', 'Tips for managing digital device usage']",Fostering encourage open discussions about mental health and promote mental health awareness campaigns can lead to improved access to support.
17-23 years,Female,Student,4-6 hours,"['Studying/Educational purposes', 'Watching videos/Movies', 'Work/Professional tasks']",Rarely,Yes,Always,Yes,Neutral,Moderately,Rarely,Average,Average,Yes,No,"['AI-powered chatbots', 'In-person counseling']",Maybe,['Other (please specify)'],Integrating ensure mental health resources are culturally sensitive into healthcare settings can help in supporting Gen Z's mental health.
17-23 years,Female,Student,4-6 hours,['Watching videos/Movies'],Always,Yes,Sometimes,Yes,Very comfortable,Moderately,Rarely,Good,Good,No,No,['Other (please specify)'],Yes,['Immediate emotional support'],"To improve mental health support for Gen Z, integrate mental health education into the school curriculum in social media."
Under 12 years,Male,Student,More than 6 hours,"['Watching videos/Movies', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming']",Always,No,Rarely,No,Somewhat uncomfortable,A lot,Sometimes,Average,Very Good,No,No,['AI-powered chatbots'],Yes,"['Daily check-ins/mood tracking', 'Immediate emotional support', 'Other (please specify)']",Supporting Gen Z's mental health requires promote mindfulness and relaxation techniques and develop mental health apps and tools.
Under 12 years,Female,Student,4-6 hours,['Studying/Educational purposes'],Never,No,Never,No,Somewhat comfortable,Not at all,Often,Average,Very Good,Not sure,Yes,"['In-person counseling', 'Other (please specify)']",Yes,"['Resources for mental health (articles, videos, etc.)', 'Connection to professional help']",encourage employers to provide mental health support can help bridge the gap in mental health support for Gen Z in social media.
Under 12 years,Male,Student,2-4 hours,['Watching videos/Movies'],Never,No,Sometimes,No,Somewhat uncomfortable,A little,Always,Poor,Good,No,Yes,"['Self-help resources (books, articles, videos)', 'Online therapy sessions']",Yes,"['Connection to professional help', 'Resources for mental health (articles, videos, etc.)']",Supporting Gen Z's mental health requires promote a healthy balance between digital device usage and offline activities and create mental health hotlines.
17-23 years,Female,Employed,Less than 2 hours,['Studying/Educational purposes'],Never,Sometimes,Often,Yes,Somewhat uncomfortable,Significantly,Sometimes,Poor,Good,Yes,Yes,"['Self-help resources (books, articles, videos)']",No,"['Tips for managing digital device usage', 'Connection to professional help', 'Other (please specify)']",increase mental health awareness and develop mental health apps and tools are crucial for enhancing mental health support for Gen Z.
Under 12 years,Female,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming']",Never,No,Never,No,Very comfortable,Not at all,Always,Average,Very Good,Not sure,Yes,"['Support groups', 'Online therapy sessions']",Maybe,"['Resources for mental health (articles, videos, etc.)']",professional help and community programs are vital for youth centers to effectively support Gen Z's mental health.
17-23 years,Male,Student,4-6 hours,"['Watching videos/Movies', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,Sometimes,Often,No,Very comfortable,Significantly,Always,Average,Average,No,Yes,"['AI-powered chatbots', 'Support groups']",Maybe,['Other (please specify)'],ensure mental health resources are culturally sensitive and offer mental health training programs are crucial for enhancing mental health support for Gen Z.
12-17 years,Female,Student,4-6 hours,"['Work/Professional tasks', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Studying/Educational purposes']",Often,Sometimes,Sometimes,Yes,Neutral,A little,Never,Average,Poor,Yes,No,"['Online therapy sessions', 'Other (please specify)']",Maybe,['Daily check-ins/mood tracking'],Integrating encourage physical activities and hobbies into healthcare settings can help in supporting Gen Z's mental health.
23-27 years,Female,Student,Less than 2 hours,['Gaming'],Never,No,Sometimes,No,Very comfortable,Significantly,Sometimes,Poor,Average,Yes,Yes,"['Self-help resources (books, articles, videos)', 'Online therapy sessions']",Maybe,"['Other (please specify)', 'Immediate emotional support']",One way to support Gen Z's mental health is by integrate mental health education into the school curriculum and create mental health hotlines.
23-27 years,Female,Student,Less than 2 hours,['Work/Professional tasks'],Always,No,Often,No,Somewhat uncomfortable,A little,Always,Average,Good,Yes,Yes,"['Online therapy sessions', 'Self-help resources (books, articles, videos)']",Maybe,"['Connection to professional help', 'Resources for mental health (articles, videos, etc.)']",Integrating encourage employers to provide mental health support into communities can help in supporting Gen Z's mental health.
27 years and above,Male,Self-employed,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Often,Sometimes,Often,Sometimes,Somewhat comfortable,Not at all,Often,Average,Average,Yes,Yes,['In-person counseling'],No,"['Other (please specify)', 'Connection to professional help', 'Immediate emotional support']",Gen Z's mental health can greatly benefit from offer anonymous counseling services and create supportive community environments provided in youth centers.
12-17 years,Male,Student,More than 6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Always,No,Sometimes,No,Very uncomfortable,Not at all,Never,Good,Good,No,Yes,"['Support groups', 'Online therapy sessions']",Maybe,"['Other (please specify)', 'Connection to professional help', 'Immediate emotional support']",Integrating implement mental health programs and workshops into educational institutions can help in supporting Gen Z's mental health.
23-27 years,Male,Student,Less than 2 hours,['Gaming'],Rarely,No,Sometimes,No,Very comfortable,A lot,Sometimes,Average,Good,Yes,Yes,"['Other (please specify)', 'AI-powered chatbots']",No,['Immediate emotional support'],Supporting Gen Z's mental health requires increase peer support programs and increase accessibility to mental health services.
23-27 years,Male,Unemployed,More than 6 hours,['Gaming'],Never,Yes,Often,No,Somewhat uncomfortable,A lot,Never,Average,Poor,No,Yes,"['Support groups', 'Self-help resources (books, articles, videos)']",No,"['Other (please specify)', 'Tips for managing digital device usage', 'Connection to professional help']",encourage open discussions about mental health can help bridge the gap in mental health support for Gen Z in universities.
12-17 years,Male,Student,2-4 hours,['Gaming'],Rarely,No,Sometimes,Yes,Neutral,Not at all,Rarely,Poor,Average,No,Yes,['Online therapy sessions'],Maybe,"['Tips for managing digital device usage', 'Immediate emotional support']",Supporting Gen Z's mental health requires improve access to online mental health resources and promote mental health through social media.
12-17 years,Female,Student,2-4 hours,['Gaming'],Often,No,Rarely,Yes,Very uncomfortable,Significantly,Rarely,Very good,Very Good,Yes,Yes,"['Self-help resources (books, articles, videos)', 'In-person counseling']",Maybe,"['Connection to professional help', 'Tips for managing digital device usage', 'Other (please specify)']",Fostering offer anonymous counseling services and provide online and offline support groups can lead to enhanced well-being.
12-17 years,Male,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,Sometimes,Never,No,Somewhat uncomfortable,Moderately,Rarely,Good,Good,Not sure,No,"['Other (please specify)', 'AI-powered chatbots']",Maybe,['Immediate emotional support'],"To improve mental health support for Gen Z, offer anonymous counseling services in universities."
17-23 years,Female,Self-employed,2-4 hours,"['Work/Professional tasks', 'Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Never,Yes,Often,No,Very uncomfortable,A little,Never,Average,Average,Yes,Yes,['Online therapy sessions'],Maybe,"['Tips for managing digital device usage', 'Resources for mental health (articles, videos, etc.)', 'Immediate emotional support']",We should encourage employers to provide mental health support to ensure Gen Z has access to counseling and therapy.
12-17 years,Male,Student,2-4 hours,"['Gaming', 'Watching videos/Movies', 'Work/Professional tasks']",Often,No,Never,No,Neutral,A little,Often,Very good,Very Good,Not sure,Yes,['AI-powered chatbots'],Yes,"['Immediate emotional support', 'Tips for managing digital device usage', 'Other (please specify)']",We should implement mental health programs and workshops to ensure Gen Z has access to community support.
12-17 years,Male,Student,4-6 hours,['Gaming'],Always,Sometimes,Rarely,No,Neutral,Significantly,Rarely,Very good,Very Good,No,No,"['Self-help resources (books, articles, videos)', 'Online therapy sessions']",Yes,"['Tips for managing digital device usage', 'Immediate emotional support']",Integrating promote a healthy balance between digital device usage and offline activities into educational institutions can help in supporting Gen Z's mental health.
17-23 years,Male,Employed,More than 6 hours,['Gaming'],Never,Sometimes,Sometimes,Yes,Neutral,A lot,Always,Average,Good,No,No,['AI-powered chatbots'],Maybe,"['Daily check-ins/mood tracking', 'Other (please specify)', 'Resources for mental health (articles, videos, etc.)']",Supporting Gen Z's mental health requires encourage employers to provide mental health support and develop mental health apps and tools.
12-17 years,Female,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks', 'Studying/Educational purposes']",Rarely,Yes,Rarely,No,Neutral,A lot,Never,Very good,Very Good,Yes,Yes,['AI-powered chatbots'],No,"['Connection to professional help', 'Immediate emotional support']","By create safe spaces for Gen Z to share experiences, we can support and greater awareness and education."
17-23 years,Male,Employed,More than 6 hours,"['Watching videos/Movies', 'Studying/Educational purposes']",Rarely,Yes,Sometimes,Sometimes,Neutral,A little,Always,Good,Average,No,Yes,['AI-powered chatbots'],No,"['Other (please specify)', 'Connection to professional help']",Fostering develop and promote mental health apps and create supportive community environments can lead to stronger support networks.
23-27 years,Female,Student,Less than 2 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Often,No,Sometimes,No,Somewhat uncomfortable,A lot,Always,Good,Good,Not sure,No,['Support groups'],Yes,"['Tips for managing digital device usage', 'Daily check-ins/mood tracking']",Gen Z's mental health can greatly benefit from offer anonymous counseling services and offer regular mental health workshops provided in public spaces.
23-27 years,Female,Student,4-6 hours,"['Watching videos/Movies', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Sometimes,Sometimes,Sometimes,Sometimes,Neutral,A little,Always,Average,Average,Not sure,Yes,"['In-person counseling', 'Self-help resources (books, articles, videos)']",Yes,"['Resources for mental health (articles, videos, etc.)']",ensure mental health resources are culturally sensitive and offer mental health training programs are crucial for enhancing mental health support for Gen Z.
Under 12 years,Male,Student,2-4 hours,"['Watching videos/Movies', 'Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Often,Sometimes,Sometimes,Yes,Somewhat uncomfortable,Not at all,Never,Poor,Good,Yes,No,['In-person counseling'],Yes,"['Connection to professional help', 'Other (please specify)', 'Resources for mental health (articles, videos, etc.)']",community support and educational workshops are vital for social media to effectively support Gen Z's mental health.
23-27 years,Female,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming', 'Watching videos/Movies']",Sometimes,No,Often,Sometimes,Neutral,A lot,Always,Average,Poor,Not sure,No,['In-person counseling'],Yes,['Tips for managing digital device usage'],We should promote a healthy balance between digital device usage and offline activities to ensure Gen Z has access to community support.
17-23 years,Female,Unemployed,4-6 hours,"['Work/Professional tasks', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Sometimes,No,Often,No,Very uncomfortable,A lot,Sometimes,Average,Good,No,Yes,['In-person counseling'],Yes,"['Connection to professional help', 'Tips for managing digital device usage']",We should promote a healthy balance between digital device usage and offline activities to ensure Gen Z has access to educational materials.
Under 12 years,Male,Student,More than 6 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming']",Sometimes,No,Sometimes,Sometimes,Somewhat uncomfortable,A little,Rarely,Good,Good,Not sure,No,['Support groups'],No,"['Immediate emotional support', 'Connection to professional help']",online resources and community programs are vital for universities to effectively support Gen Z's mental health.
17-23 years,Male,Student,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Always,Sometimes,Often,No,Neutral,A little,Sometimes,Good,Good,No,No,"['In-person counseling', 'Self-help resources (books, articles, videos)']",Maybe,"['Immediate emotional support', 'Connection to professional help', 'Daily check-ins/mood tracking']","By provide accessible and affordable mental health services, we can enhance and improved overall health."
17-23 years,Female,Student,Less than 2 hours,['Work/Professional tasks'],Always,No,Often,No,Somewhat comfortable,A little,Never,Good,Poor,Not sure,Yes,"['Other (please specify)', 'Online therapy sessions']",Maybe,"['Daily check-ins/mood tracking', 'Tips for managing digital device usage']","To improve mental health support for Gen Z, increase peer support programs in healthcare settings."
12-17 years,Male,Student,4-6 hours,['Gaming'],Always,Yes,Never,Sometimes,Very comfortable,A lot,Often,Very good,Good,Yes,Yes,"['In-person counseling', 'AI-powered chatbots']",No,"['Resources for mental health (articles, videos, etc.)']",encourage employers to provide mental health support can help bridge the gap in mental health support for Gen Z in workplaces.
17-23 years,Female,Student,More than 6 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,Sometimes,Often,Sometimes,Neutral,Significantly,Always,Average,Average,Yes,Yes,"['Self-help resources (books, articles, videos)', 'AI-powered chatbots']",Yes,"['Other (please specify)', 'Connection to professional help']",increase mental health awareness can greatly benefit the mental health of Gen Z.
23-27 years,Male,Student,More than 6 hours,"['Work/Professional tasks', 'Watching videos/Movies', 'Gaming']",Never,Sometimes,Sometimes,Sometimes,Very comfortable,A lot,Sometimes,Average,Poor,Not sure,Yes,"['Self-help resources (books, articles, videos)']",No,"['Tips for managing digital device usage', 'Resources for mental health (articles, videos, etc.)', 'Connection to professional help']",encourage open discussions about mental health and increase accessibility to mental health services are crucial for enhancing mental health support for Gen Z.
Under 12 years,Male,Student,More than 6 hours,"['Work/Professional tasks', 'Watching videos/Movies', 'Gaming']",Never,Sometimes,Rarely,No,Somewhat comfortable,A little,Sometimes,Very good,Very Good,Not sure,Yes,['Support groups'],Yes,['Tips for managing digital device usage'],public spaces should prioritize provide accessible and affordable mental health services and create mental health hotlines for better mental health support.
27 years and above,Female,Employed,2-4 hours,"['Studying/Educational purposes', 'Work/Professional tasks']",Often,Sometimes,Often,No,Neutral,Significantly,Sometimes,Average,Poor,Yes,No,['Support groups'],Yes,"['Other (please specify)', 'Connection to professional help', 'Immediate emotional support']",improve access to online mental health resources can greatly benefit the mental health of Gen Z.
Under 12 years,Female,Student,2-4 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Always,No,Never,No,Somewhat uncomfortable,Moderately,Sometimes,Very good,Very Good,No,No,"['AI-powered chatbots', 'Support groups']",No,"['Daily check-ins/mood tracking', 'Connection to professional help', 'Immediate emotional support']",Encouraging create more inclusive and diverse mental health resources among Gen Z can lead to greater emotional support.
23-27 years,Female,Student,More than 6 hours,"['Work/Professional tasks', 'Gaming', 'Studying/Educational purposes']",Always,No,Sometimes,No,Somewhat uncomfortable,A lot,Rarely,Good,Average,Yes,Yes,"['Online therapy sessions', 'Self-help resources (books, articles, videos)']",No,"['Resources for mental health (articles, videos, etc.)']","To improve mental health support for Gen Z, integrate mental health education into the school curriculum in educational institutions."
12-17 years,Female,Student,2-4 hours,"['Watching videos/Movies', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming']",Never,Yes,Never,Sometimes,Very comfortable,Not at all,Sometimes,Very good,Average,Yes,Yes,"['AI-powered chatbots', 'Other (please specify)']",Yes,['Other (please specify)'],It's important to develop and promote mental health apps and encourage physical and recreational activities to promote more resilient mental health for Gen Z.
23-27 years,Male,Student,2-4 hours,['Work/Professional tasks'],Sometimes,No,Often,Sometimes,Somewhat uncomfortable,Moderately,Rarely,Average,Good,Yes,Yes,['Online therapy sessions'],No,"['Immediate emotional support', 'Tips for managing digital device usage']",Supporting Gen Z's mental health requires increase funding for mental health research and offer regular mental health workshops.
27 years and above,Male,Employed,Less than 2 hours,['Gaming'],Always,Yes,Always,Sometimes,Somewhat comfortable,Moderately,Rarely,Poor,Poor,No,Yes,['Support groups'],Maybe,['Immediate emotional support'],It's essential to encourage regular mental health check-ups for better mental health outcomes in Gen Z.
23-27 years,Female,Student,4-6 hours,['Watching videos/Movies'],Rarely,Yes,Often,Sometimes,Very uncomfortable,A lot,Rarely,Good,Poor,No,Yes,['Other (please specify)'],No,"['Daily check-ins/mood tracking', 'Immediate emotional support']",One way to support Gen Z's mental health is by encourage regular mental health check-ups and increase accessibility to mental health services.
17-23 years,Male,Self-employed,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks', 'Watching videos/Movies']",Never,Yes,Sometimes,No,Very comfortable,Significantly,Always,Average,Average,Not sure,Yes,"['Online therapy sessions', 'AI-powered chatbots']",Yes,"['Other (please specify)', 'Tips for managing digital device usage', 'Resources for mental health (articles, videos, etc.)']",One way to support Gen Z's mental health is by promote a healthy balance between digital device usage and offline activities and develop mental health apps and tools.
Under 12 years,Male,Student,4-6 hours,"['Studying/Educational purposes', 'Watching videos/Movies']",Never,No,Rarely,No,Very comfortable,A lot,Always,Very good,Very Good,Yes,Yes,"['Self-help resources (books, articles, videos)', 'Support groups']",No,"['Tips for managing digital device usage', 'Daily check-ins/mood tracking', 'Other (please specify)']",Gen Z's mental health can greatly benefit from develop and promote mental health apps and encourage physical and recreational activities provided in social media.
12-17 years,Male,Student,4-6 hours,['Work/Professional tasks'],Always,Yes,Never,No,Somewhat comfortable,Moderately,Rarely,Very good,Average,Yes,No,"['In-person counseling', 'Online therapy sessions']",No,"['Resources for mental health (articles, videos, etc.)']",create safe spaces for Gen Z to share experiences and promote mental health awareness campaigns are crucial for enhancing mental health support for Gen Z.
Under 12 years,Female,Student,4-6 hours,"['Studying/Educational purposes', 'Watching videos/Movies']",Sometimes,Yes,Never,No,Very uncomfortable,Significantly,Never,Very good,Good,No,No,['Online therapy sessions'],Maybe,['Immediate emotional support'],Supporting Gen Z's mental health requires increase mental health awareness and develop mental health apps and tools.
12-17 years,Female,Student,4-6 hours,['Gaming'],Rarely,Sometimes,Sometimes,No,Somewhat comfortable,Significantly,Often,Good,Poor,Not sure,No,"['Support groups', 'AI-powered chatbots']",No,"['Resources for mental health (articles, videos, etc.)', 'Immediate emotional support']","To improve mental health support for Gen Z, reduce the stigma associated with seeking mental health help in healthcare settings."
12-17 years,Male,Student,More than 6 hours,"['Studying/Educational purposes', 'Work/Professional tasks']",Never,No,Sometimes,No,Somewhat uncomfortable,A lot,Sometimes,Good,Average,Yes,No,['Other (please specify)'],Maybe,"['Other (please specify)', 'Daily check-ins/mood tracking', 'Resources for mental health (articles, videos, etc.)']",Encouraging improve access to online mental health resources among Gen Z can lead to reduced stigma.
17-23 years,Female,Student,4-6 hours,"['Watching videos/Movies', 'Work/Professional tasks', 'Gaming']",Sometimes,Sometimes,Sometimes,No,Somewhat comfortable,A little,Sometimes,Poor,Average,Yes,Yes,['Other (please specify)'],No,"['Tips for managing digital device usage', 'Resources for mental health (articles, videos, etc.)', 'Daily check-ins/mood tracking']",Fostering reduce the stigma associated with seeking mental health help and increase accessibility to mental health services can lead to reduced stigma.
23-27 years,Male,Student,More than 6 hours,"['Studying/Educational purposes', 'Work/Professional tasks']",Always,No,Always,No,Very comfortable,A lot,Sometimes,Poor,Poor,No,No,"['Other (please specify)', 'Self-help resources (books, articles, videos)']",Yes,"['Resources for mental health (articles, videos, etc.)']",create safe spaces for Gen Z to share experiences can help bridge the gap in mental health support for Gen Z in educational institutions.
17-23 years,Male,Employed,2-4 hours,"['Gaming', 'Watching videos/Movies']",Never,Yes,Always,Sometimes,Very comfortable,A lot,Never,Average,Poor,No,No,"['Self-help resources (books, articles, videos)', 'Other (please specify)']",No,"['Other (please specify)', 'Tips for managing digital device usage', 'Immediate emotional support']",It's essential to reduce the stigma associated with seeking mental health help for better mental health outcomes in Gen Z.
12-17 years,Male,Student,4-6 hours,"['Studying/Educational purposes', 'Gaming']",Sometimes,No,Never,Sometimes,Somewhat uncomfortable,Not at all,Always,Very good,Very Good,Not sure,No,"['Support groups', 'Other (please specify)']",Yes,"['Resources for mental health (articles, videos, etc.)', 'Tips for managing digital device usage']",Encouraging promote a healthy balance between digital device usage and offline activities among Gen Z can lead to stronger support networks.
23-27 years,Male,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies', 'Work/Professional tasks']",Never,Sometimes,Often,No,Very comfortable,A lot,Often,Good,Poor,Not sure,Yes,"['AI-powered chatbots', 'Self-help resources (books, articles, videos)']",Yes,"['Resources for mental health (articles, videos, etc.)', 'Daily check-ins/mood tracking']",encourage regular mental health check-ups and offer mental health training programs are crucial for enhancing mental health support for Gen Z.
23-27 years,Female,Employed,2-4 hours,"['Work/Professional tasks', 'Gaming', 'Watching videos/Movies']",Often,Yes,Often,Yes,Very uncomfortable,Significantly,Sometimes,Good,Average,No,Yes,"['Support groups', 'Other (please specify)']",No,"['Tips for managing digital device usage', 'Connection to professional help', 'Other (please specify)']","To improve mental health support for Gen Z, provide mental health training for teachers and parents in universities."
12-17 years,Female,Student,2-4 hours,['Work/Professional tasks'],Sometimes,No,Sometimes,No,Somewhat uncomfortable,Significantly,Always,Average,Good,Yes,No,"['Other (please specify)', 'In-person counseling']",No,"['Tips for managing digital device usage', 'Other (please specify)']",Providing mental health resources and online and offline resources can significantly improve mental health for Gen Z.
17-23 years,Male,Employed,4-6 hours,"['Gaming', 'Work/Professional tasks']",Never,Yes,Sometimes,Yes,Very uncomfortable,Moderately,Rarely,Good,Poor,No,Yes,"['Online therapy sessions', 'In-person counseling']",Yes,"['Resources for mental health (articles, videos, etc.)']",We should improve access to online mental health resources to ensure Gen Z has access to hotlines and support groups.
17-23 years,Female,Employed,Less than 2 hours,"['Gaming', 'Work/Professional tasks', 'Studying/Educational purposes']",Often,Sometimes,Sometimes,Yes,Somewhat uncomfortable,A lot,Never,Average,Good,No,Yes,['Other (please specify)'],Maybe,"['Connection to professional help', 'Tips for managing digital device usage']",Supporting Gen Z's mental health requires develop and promote mental health apps and increase accessibility to mental health services.
23-27 years,Female,Student,2-4 hours,"['Watching videos/Movies', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks']",Never,Yes,Always,No,Somewhat comfortable,A little,Sometimes,Average,Very Poor,Not sure,Yes,['Support groups'],Yes,"['Other (please specify)', 'Daily check-ins/mood tracking', 'Tips for managing digital device usage']",create safe spaces for Gen Z to share experiences and provide online and offline support groups are crucial for enhancing mental health support for Gen Z.
12-17 years,Female,Student,More than 6 hours,"['Gaming', 'Watching videos/Movies']",Often,Yes,Rarely,Sometimes,Very comfortable,Moderately,Often,Very good,Very Good,No,No,"['Online therapy sessions', 'Self-help resources (books, articles, videos)']",Yes,"['Tips for managing digital device usage', 'Other (please specify)']",It's important to increase mental health awareness and increase accessibility to mental health services to promote greater awareness and education for Gen Z.
Under 12 years,Female,Student,4-6 hours,"['Watching videos/Movies', 'Gaming']",Rarely,Sometimes,Sometimes,No,Somewhat uncomfortable,Moderately,Often,Average,Average,No,Yes,"['Online therapy sessions', 'In-person counseling']",Yes,['Connection to professional help'],Gen Z's mental health can greatly benefit from ensure mental health resources are culturally sensitive and increase accessibility to mental health services provided in communities.
27 years and above,Female,Unemployed,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks']",Always,Yes,Often,Yes,Very comfortable,Not at all,Rarely,Good,Good,Not sure,Yes,['In-person counseling'],No,"['Resources for mental health (articles, videos, etc.)']",We should encourage regular mental health check-ups to ensure Gen Z has access to online resources.
27 years and above,Female,Employed,4-6 hours,"['Gaming', 'Work/Professional tasks', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,No,Often,No,Somewhat comfortable,Significantly,Sometimes,Good,Good,Yes,No,"['Other (please specify)', 'Support groups']",Yes,['Tips for managing digital device usage'],encourage regular mental health check-ups can greatly benefit the mental health of Gen Z.
23-27 years,Female,Student,2-4 hours,"['Studying/Educational purposes', 'Gaming', 'Work/Professional tasks']",Sometimes,Yes,Always,Sometimes,Somewhat comfortable,Moderately,Often,Average,Average,Yes,Yes,['Support groups'],Yes,['Other (please specify)'],Encouraging promote a healthy balance between digital device usage and offline activities among Gen Z can lead to greater emotional support.
Under 12 years,Female,Student,2-4 hours,"['Work/Professional tasks', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Never,No,Sometimes,Sometimes,Somewhat uncomfortable,Moderately,Never,Good,Good,Not sure,No,"['AI-powered chatbots', 'Online therapy sessions']",No,['Daily check-ins/mood tracking'],Supporting Gen Z's mental health requires create more inclusive and diverse mental health resources and provide online and offline support groups.
17-23 years,Male,Student,2-4 hours,['Work/Professional tasks'],Sometimes,No,Sometimes,No,Very comfortable,Not at all,Sometimes,Poor,Good,Not sure,No,"['In-person counseling', 'Self-help resources (books, articles, videos)']",No,"['Tips for managing digital device usage', 'Other (please specify)']",online platforms should prioritize promote mindfulness and relaxation techniques and encourage physical and recreational activities for better mental health support.
17-23 years,Female,Unemployed,2-4 hours,"['Work/Professional tasks', 'Watching videos/Movies', 'Studying/Educational purposes']",Sometimes,Sometimes,Often,Yes,Very comfortable,Significantly,Often,Good,Average,No,No,['Online therapy sessions'],Yes,"['Tips for managing digital device usage', 'Immediate emotional support']",Integrating provide mental health training for teachers and parents into schools can help in supporting Gen Z's mental health.
17-23 years,Female,Student,2-4 hours,"['Work/Professional tasks', 'Gaming']",Rarely,No,Often,Yes,Very uncomfortable,A little,Never,Average,Good,Not sure,No,['Other (please specify)'],Yes,"['Tips for managing digital device usage', 'Resources for mental health (articles, videos, etc.)']",One way to support Gen Z's mental health is by promote a healthy balance between digital device usage and offline activities and offer regular mental health workshops.
27 years and above,Female,Unemployed,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Never,Sometimes,Always,No,Somewhat uncomfortable,Not at all,Rarely,Poor,Very Poor,No,No,['Online therapy sessions'],Maybe,"['Resources for mental health (articles, videos, etc.)']",Encouraging increase funding for mental health research among Gen Z can lead to more resilient mental health.
27 years and above,Male,Employed,2-4 hours,"['Gaming', 'Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,Yes,Always,No,Very uncomfortable,Significantly,Sometimes,Average,Average,Yes,No,"['Online therapy sessions', 'Other (please specify)']",Yes,"['Immediate emotional support', 'Daily check-ins/mood tracking']",Fostering encourage open discussions about mental health and develop mental health apps and tools can lead to more resilient mental health.
Under 12 years,Female,Student,More than 6 hours,['Studying/Educational purposes'],Sometimes,No,Rarely,Sometimes,Neutral,A little,Never,Average,Very Good,Not sure,No,['Other (please specify)'],Yes,['Other (please specify)'],professional help and professional counseling are vital for online platforms to effectively support Gen Z's mental health.
27 years and above,Female,Employed,Less than 2 hours,"['Watching videos/Movies', 'Gaming']",Sometimes,Yes,Always,No,Somewhat uncomfortable,Not at all,Always,Poor,Poor,Yes,No,"['Support groups', 'Online therapy sessions']",No,"['Immediate emotional support', 'Other (please specify)', 'Daily check-ins/mood tracking']",schools should prioritize promote a healthy balance between digital device usage and offline activities and offer mental health training programs for better mental health support.
